beta,stability,morality,cycle length,generation count,seed
0.28,1.0,0.0,1,3,19561891
0.28,1.0,0.013,1,6,19561892
0.28,1.0,0.013,1,4,19561893
0.28,1.0,0.022,1,5,19561894
0.28,1.0,0.0,1,4,19561895
0.28,1.0,0.033,1,5,19561896
0.28,1.0,0.025,1,6,19561897
0.28,1.0,0.024,1,4,19561898
0.28,1.0,0.0,1,4,19561899
0.28,1.0,0.015,1,6,19561900
0.28,1.0,0.021,1,5,19561901
0.28,1.0,0.006,1,5,19561902
0.28,1.0,0.019,1,5,19561903
0.28,1.0,0.018,1,5,19561904
0.28,1.0,0.0,1,4,19561905
0.28,1.0,0.0,1,5,19561906
0.28,1.0,0.006,1,5,19561907
0.28,1.0,0.021,1,6,19561908
0.28,1.0,0.0,1,5,19561909
0.28,1.0,0.027,1,4,19561910
0.28,1.0,0.071,1,7,19561911
0.28,1.0,0.0,1,3,19561912
0.28,1.0,0.016,1,6,19561913
0.28,1.0,0.008,1,4,19561914
0.28,1.0,0.0,1,4,19561915
0.28,1.0,0.025,1,4,19561916
0.28,1.0,0.0,1,4,19561917
0.28,1.0,0.007,1,5,19561918
0.28,1.0,0.037,1,4,19561919
0.28,1.0,0.0,1,4,19561920
0.28,1.0,0.019,1,6,19561921
0.28,1.0,0.0,1,4,19561922
0.28,1.0,0.014,1,5,19561923
0.28,1.0,0.007,1,5,19561924
0.28,0.5,0.011,2,7,19561925
0.28,1.0,0.007,1,4,19561926
0.28,1.0,0.007,1,5,19561927
0.28,1.0,0.007,1,3,19561928
0.28,1.0,0.024,1,5,19561929
0.28,1.0,0.01,1,4,19561930
